Small Unit Installation Postcode,Previous Years (2001-2016) - Installations Quantity,Previous Years (2001-2016) - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Jan 2018 - Installations Quantity,Jan 2018 - SGU Rated Output In kW,Feb 2018 - Installations Quantity,Feb 2018 - SGU Rated Output In kW,Mar 2018 - Installations Quantity,Mar 2018 - SGU Rated Output In kW,Apr 2018 - Installations Quantity,Apr 2018 - SGU Rated Output In kW,May 2018 - Installations Quantity,May 2018 - SGU Rated Output In kW,Jun 2018 - Installations Quantity,Jun 2018 - SGU Rated Output In kW,Jul 2018 - Installations Quantity,Jul 2018 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2070,315,947.33,2,9.63,1,4,3,22.5,1,5.3,3,14.92,0,0,3,18.395,4,21.3,3,15.43,4,32.6,8,48.06,6,39.57,5,42.665,5,37.18,4,26.695,3,19.92,9,53.895,4,24.76,5,38.84,388,"1,422.99"
2071,289,"1,017.78",3,18.51,2,11,4,23.31,2,11.04,2,15.82,3,11.1,2,12.04,3,17.766,3,18.45,1,5.12,5,44.13,2,10.713,2,15.92,2,10.8,2,23.45,5,36.15,2,10.675,1,6.38,2,12.96,337,"1,333.11"
2072,130,512.231,1,8.32,2,10.08,0,0,3,22.95,2,13.2,0,0,1,4.95,2,11.744,3,15.57,3,108.312,1,13.08,2,17.07,2,11.45,1,6.7,0,0,4,23.115,1,5.7,3,34.82,2,14.455,163,833.747
2073,372,"1,338.72",3,16.005,5,22.715,4,24.855,4,25.769,12,57.546,4,17.255,5,38.7,5,22.375,11,79.08,12,168.462,6,57.745,7,50.615,7,50.707,8,47.21,3,17.075,10,70.54,10,88.525,3,13.15,4,23.905,495,"2,230.95"
2074,639,"1,885.09",6,26.65,4,18.755,7,46.44,5,26.96,9,56.919,1,5.22,6,43.655,11,63.13,14,78.425,4,23.34,11,82.008,4,28.07,4,17.62,7,42.591,9,42.725,8,54.724,8,44.5,9,45.02,5,32.98,771,"2,664.82"
2075,447,"1,381.50",5,24.28,1,5.2,3,19.36,7,35.27,3,18.9,2,8.88,5,28.9,8,49.285,7,39.071,12,73.079,7,59.71,4,18.66,5,39.35,4,31.04,6,48.29,10,57.51,15,100.81,12,72.75,6,34.465,569,"2,146.31"
2076,652,"2,458.74",5,20.3,1,4.16,3,15.17,4,23.106,8,143.86,4,16.823,3,15.085,11,56.285,7,39.485,7,48.74,5,28.23,6,32.58,5,25.932,3,16.27,6,29.83,7,40.435,13,80.535,5,26.97,0,0,755,"3,122.54"
2077,816,"2,539.79",1,4.86,11,88.125,7,48.305,7,45.1,3,12.403,3,34,5,24.417,7,43.405,10,137.23,8,59.515,10,54.298,4,81.03,11,78.04,10,53.67,8,47.85,10,49.555,8,43.182,6,58.1,4,24.28,949,"3,527.16"
2079,277,719.398,2,7.8,3,10.73,1,5.2,1,5.46,4,13.19,1,3.2,4,22.1,5,23.55,1,6.625,3,17.575,3,21.68,3,18.51,4,23.34,3,24.47,3,20.105,3,18.93,5,35.83,3,17.925,0,0,329,"1,015.62"
2080,88,303.63,0,0,0,0,0,0,0,0,1,2.75,0,0,0,0,0,0,3,14.1,0,0,2,7.6,0,0,0,0,0,0,0,0,2,11.67,2,8.92,0,0,1,2.7,99,351.37
2081,314,805.38,5,15.53,1,4.05,3,10.28,2,7.54,3,16.15,3,22.799,1,5.83,1,6.48,3,14.595,3,16.12,5,30.343,0,0,2,12.65,5,31.575,5,31.675,3,16.36,1,5.94,2,8.17,4,28.435,366,"1,089.90"
2082,279,767.285,1,5.83,1,3.64,3,12.17,2,9.79,4,16.665,0,0,3,8.385,8,40.26,7,43.59,2,7.59,3,14.515,1,4.86,1,5.3,1,1.65,3,12.58,6,33.755,2,13.42,2,6.145,3,16.27,332,"1,023.70"
2083,116,380.815,0,0,0,0,2,9.34,3,16.19,0,0,1,6.36,0,0,0,0,1,5.6,0,0,1,8.1,1,5.94,1,4.95,0,0,2,7.38,1,5.4,3,10.04,0,0,0,0,132,460.115
2084,172,713.818,0,0,1,4.77,1,5.3,2,39.2,2,15.647,3,18.9,1,10.08,4,40.73,3,10.05,3,115.67,2,11.3,1,3.71,1,12.8,2,21.515,0,0,1,8.265,1,4.95,1,5.4,3,24.77,204,"1,066.88"
2085,525,"1,780.88",0,0,7,23.774,9,43.63,1,4.905,4,23.19,4,14.7,3,17.31,6,23.75,8,47.125,5,23.49,4,26.53,8,68.51,4,25.115,6,33.605,5,31.775,7,33.49,5,45.355,2,10.83,1,4.125,614,"2,282.09"
2086,484,"1,280.68",2,10.42,3,23.68,4,20.438,3,11.35,4,26.78,6,30.74,8,38.175,5,22.245,5,24.28,2,14.049,5,24.07,5,36.203,2,12.835,5,20.59,4,21.95,5,27.54,5,23.6,5,39.2,3,20.33,565,"1,729.15"
2087,488,"1,449.97",1,3.18,3,9.38,3,24.836,5,19.66,1,5.3,1,6,3,15.27,7,34.19,4,25.08,3,16.84,4,20.4,2,12.99,4,23.63,5,51.4,8,38.48,3,8.28,4,20.635,5,35.43,3,26.14,557,"1,847.09"
2088,381,"1,294.72",3,11.7,6,25.53,3,22.076,5,19.58,3,19.43,4,14.65,4,24.5,5,36.33,3,18.022,2,8.37,1,3.35,6,43.305,11,67.62,6,64.115,6,42.93,5,28.99,3,26.55,5,32.902,3,21.445,465,"1,826.11"
2089,39,113.81,0,0,0,0,1,3.975,0,0,0,0,3,3.93,1,6.24,0,0,1,2.64,1,4.86,0,0,0,0,0,0,3,25.04,2,16.766,1,5.28,1,2.16,0,0,0,0,53,184.701
2090,122,356.151,2,7.8,0,0,0,0,1,3,0,0,1,17.28,1,3.245,3,11.8,0,0,2,7.02,2,16.415,2,11.12,2,8.895,3,15.63,0,0,0,0,1,7.08,1,7.035,0,0,143,472.471
2092,221,739.363,3,12.92,2,12.06,2,7.83,2,6.16,4,12.09,2,8.89,1,2.88,2,16.71,2,14.25,3,11.545,4,30.637,3,99.07,2,9.63,3,16.82,2,12.96,0,0,3,21.924,2,14.01,4,28.765,267,"1,078.51"
2093,514,"1,624.62",4,15.895,3,10.49,3,6.98,7,35.84,5,27.266,4,16.65,4,20.85,5,28.77,3,14.11,5,26.96,6,43.51,8,102.26,3,15.312,5,35.245,2,8.195,4,23.65,6,37.205,8,44.325,3,19.86,602,"2,157.99"
2094,91,225.575,0,0,0,0,5,20.82,0,0,1,5.2,2,9.5,0,0,1,5.28,1,5.28,0,0,1,15.08,1,12.76,2,7.29,1,5.04,1,3.35,1,6.7,1,3.685,1,6.27,0,0,110,331.83
2095,168,582.81,0,0,0,0,2,16.07,1,8.58,0,0,2,9.33,2,13.65,2,17.79,0,0,2,10.5,2,9.735,3,18.42,7,34.57,7,41.305,4,39.305,2,8.68,3,23.35,1,6.03,1,4.02,209,844.145
2096,322,"1,005.98",2,7.74,4,21.423,0,0,1,4.59,3,13.442,1,5.98,3,16.085,4,25.11,2,11.34,0,0,5,17.04,2,18.45,0,0,4,24.305,4,30.57,5,30.035,3,21.685,1,6.6,0,0,366,"1,260.38"
2097,461,"1,190.19",1,1.68,2,9.96,1,9.6,4,22.32,7,29.42,4,21.435,3,21.635,4,29.725,1,4.578,6,31.33,4,22.685,3,19.83,3,58.05,5,23.385,1,5.5,4,19.59,4,17.28,3,19.87,3,19.425,524,"1,577.49"
2099,837,"2,385.14",4,15.73,5,22.98,4,17.78,7,37.538,6,25.68,6,40.09,4,22.96,10,41.32,4,19.38,13,64.2,5,59.22,8,38.18,4,25.623,3,15.88,9,63.155,8,61.702,15,102.625,6,29.51,8,53.66,966,"3,142.36"
2100,665,"2,330.87",5,18.7,7,31.52,3,12.8,4,14.85,7,47.62,5,22.91,5,24.45,8,36.215,4,20.52,6,55.185,9,49.33,4,22.3,4,21.345,8,51.005,11,45.585,6,52.6,10,89.055,16,79.92,3,17.14,790,"3,043.92"
2101,527,"1,521.52",5,28.05,3,16.32,3,6.075,1,3.24,2,7.69,1,3.2,7,36.844,5,27.24,3,11.54,2,30.04,4,26.101,5,56.705,4,20.74,4,19.82,3,19,4,28.715,7,52.675,2,18.18,4,27.905,596,"1,961.60"
2102,283,786.915,1,4.16,11,16.98,2,14.456,1,5.22,2,5.85,0,0,0,0,2,8.04,2,6.6,2,9.12,0,0,3,16.725,1,6.7,3,13.42,2,8.8,5,31.54,1,6.03,1,6.51,3,17.34,325,964.406
2103,309,"1,018.79",0,0,1,14.56,2,10.92,3,14.97,1,13.5,3,35.44,5,24.09,2,28.22,3,19.3,3,20.53,3,23.65,4,33.86,0,0,2,9.49,2,12.15,2,11.7,10,83.305,3,19.41,3,19.69,361,"1,413.57"
