POA_CODE_2016,irradiation
POA4068,4.81
POA4069,4.80875
POA4070,4.81
POA4073,4.81
POA4074,4.80875
POA4075,4.81
POA4076,4.81
POA4077,4.81
POA4078,4.81
POA4101,5.116666666666666
POA4102,4.81
POA4103,4.81
POA4104,4.81
POA4105,4.81
POA4106,4.81
POA4107,4.81
POA4108,4.81
POA4109,4.81
POA4110,4.81
POA4111,4.81
POA4112,4.81
POA4113,4.81
POA4114,4.81
POA4115,4.81
POA4116,4.81
POA4117,4.81
POA4118,4.81
POA4119,4.81
POA4120,4.81
POA4121,4.81
POA4122,4.81
POA4123,4.81
POA4124,4.81
POA4125,4.81
